	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
PN1	0.0	0.27140550738	0.286734360377	0.984854812447	0.407579413022	0.49487652613	0.476719662427	0.799273588123	0.613572940407	1.0	0.507692874554	0.774670605379	0.618776692883	0.500889269312	0.540502690618	0.467146218148	0.385296834696	0.481878905926	0.928727946461	0.220075548101	0.259719854371	0.266417369181	0.771625418474	0.80651854063	0.726655700825	0.226042762429	0.217191491418	0.28320717615	0.342587835317	0.330218869502	0.340145325293	0.256457897234	0.406075920291	0.546093346274	0.365285841126	0.44556688797	0.589733399436	0.560985954986	0.549135821016	0.396535900542	0.832574160388	0.719841655251
PN3	0.27140550738	0.0	0.349022699366	0.705327341021	0.484855651855	0.624911445767	0.732986036571	0.694537178891	0.571276375979	1.0	0.606494780994	0.74355126558	0.676413712149	0.571487097725	0.567215500793	0.555495977691	0.742144559848	0.423212553921	0.933550620732	0.351831957846	0.278942032283	0.32400497383	0.969156598112	0.817560595467	0.590277604441	0.423382293247	0.256864111599	0.311911305267	0.422613477511	0.353518097806	0.406804949296	0.42263487143	0.490316395519	0.478051425282	0.515080143896	0.471664298307	0.72168079989	0.573607253527	0.561660619415	0.285784109103	0.805067041472	0.774121403861
PN2	0.286734360377	0.349022699366	0.0	0.984381468114	0.853012728448	0.554259289655	0.592891713221	0.951349118116	0.791196555327	1.0	0.631545777187	0.804856739157	0.810246092202	0.610681332103	0.727637958571	0.605174224792	0.591210235208	0.642591766837	0.72284727201	0.37453897348	0.306844093555	0.333981225796	0.917190545947	0.898910727285	0.845768985605	0.411659752899	0.378722153167	0.382590849836	0.414861625321	0.388824473981	0.396501964852	0.514075534713	0.530400566778	0.643415695588	0.448676418955	0.470555417798	0.664647189434	0.595352309439	0.592780189886	0.43938171433	0.61821851504	0.764524668507
pcrblank	0.984854812447	0.705327341021	0.984381468114	0.0	0.978846425388	0.982658210708	0.984410746056	0.823919233346	0.777610064074	1.0	0.996476804313	0.321308863039	0.981762585128	0.984630961678	0.980991330264	0.788241794569	0.948920066452	0.986680304847	0.982085650431	0.988276700329	0.668362208054	0.995126885219	0.995300069472	0.982181076139	0.987932580922	0.982148381831	0.98151258553	0.540906282818	0.995858307315	0.818530081439	0.98788621161	0.980557348975	0.987365668614	0.982710504562	0.985332578248	0.98807542131	0.995743347025	0.983009257328	0.985628163112	0.995212812497	0.988870544824	0.101327599039
negcontrol1	0.407579413022	0.484855651855	0.853012728448	0.978846425388	0.0	0.320322748568	0.196590196502	0.799293773413	0.928020074476	1.0	0.638088507122	0.693883198429	0.706759041836	0.266218311852	0.156398766562	0.641339403108	0.806577368754	0.662834759539	0.949824538918	0.824840575206	0.343572808463	0.910468261671	0.823397428622	0.817920912161	0.702685011484	0.24366420918	0.33645814943	0.929545243757	0.50219663979	0.461139461776	0.456256087727	0.455531546464	0.562420816266	0.352726556866	0.571751525116	0.551230020309	0.941808847969	0.694562910066	0.329567632565	0.489263000066	0.808473972524	0.728455426895
500M3	0.49487652613	0.624911445767	0.554259289655	0.982658210708	0.320322748568	0.0	0.219818018603	0.565513220024	0.779636779199	1.0	0.667938401681	0.378465701916	0.42040720461	0.244374247315	0.505733361108	0.294905652235	0.685609971755	0.297028996096	0.450859501532	0.686714334204	0.630712951788	0.686414271247	0.971492545655	0.711775936137	0.240174147556	0.272737820502	0.415093532141	0.674738906431	0.657335094944	0.418800028499	0.651909956243	0.416408489463	0.551365625267	0.533530319384	0.70236096995	0.598716790848	0.714759402417	0.430718529154	0.462147203397	0.561623567193	0.778457997191	0.391760837241
500M2	0.476719662427	0.732986036571	0.592891713221	0.984410746056	0.196590196502	0.219818018603	0.0	0.839189252346	0.883134980165	1.0	0.763945477558	0.765919573482	0.776963166348	0.0739226963721	0.460579181956	0.677810475291	0.791586264818	0.591479778042	0.939924053882	0.844678352542	0.686181858046	0.509638029028	0.852290618818	0.840542227771	0.813285252716	0.637878737381	0.340938730902	0.84273589393	0.720484466824	0.743792864649	0.751679283021	0.573274850205	0.726980615548	0.653661989596	0.766693935003	0.691566607929	0.882639294224	0.788065777464	0.740781772068	0.551396638819	0.895614931447	0.729863560556
500M1	0.799273588123	0.694537178891	0.951349118116	0.823919233346	0.799293773413	0.565513220024	0.839189252346	0.0	0.943873470216	1.0	0.71443009996	0.029005882363	0.827522231669	0.298546533198	0.811272327634	0.232936516388	0.851700517797	0.593527540673	0.837597456924	0.950453194958	0.511228236008	0.884988151194	0.977865112121	0.762685052165	0.658641081791	0.65181579824	0.794601830392	0.944702867759	0.69047578439	0.294594722597	0.329783493525	0.688060962262	0.813690125757	0.277371362091	0.565882111261	0.799594202291	0.951120339192	0.2881255568	0.645550525558	0.821113652814	0.108454023148	0.128625612033
340RF3	0.613572940407	0.571276375979	0.791196555327	0.777610064074	0.928020074476	0.779636779199	0.883134980165	0.943873470216	0.0	1.0	0.65234170964	0.725285462813	0.855392415435	0.775297715948	0.691573205419	0.797988714845	0.908568256906	0.760741115792	0.962996391921	0.548007696923	0.517038180528	0.57504563303	0.486664785163	0.925071974659	0.726623170724	0.451946440978	0.434571048098	0.531288165659	0.59611591043	0.610530722989	0.634139086995	0.587308612784	0.619931454353	0.610263998989	0.721747477894	0.347344388165	0.815207478971	0.733931354699	0.830602355757	0.49995210654	0.837395555344	0.760540715828
340RF2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
