	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
PN1	0.0	0.847478474785	0.859504132231	0.974045801527	0.93740685544	0.950495049505	0.950524737631	0.951557093426	0.936912751678	1.0	0.950715421304	0.961656441718	0.950310559006	0.963836477987	0.940525587828	0.939172749392	0.918032786885	0.936218678815	0.956193353474	0.810148731409	0.825301204819	0.859229747676	0.944687045124	0.933333333333	0.947826086957	0.859414225941	0.828226555246	0.847414880202	0.912071535022	0.869879518072	0.843301435407	0.848715509039	0.936434108527	0.919282511211	0.896637608966	0.926327193933	0.940915805022	0.924593967517	0.902340597256	0.896551724138	0.955108359133	0.953045685279
PN3	0.847478474785	0.0	0.840670859539	0.974160206718	0.934306569343	0.921478060046	0.94540942928	0.941569282137	0.920668058455	1.0	0.921568627451	0.942105263158	0.944736842105	0.947945205479	0.918502202643	0.906593406593	0.913865546218	0.908940397351	0.941475826972	0.883744855967	0.831385642738	0.848126232742	0.923444976077	0.914634146341	0.934823091248	0.910910910911	0.866819747417	0.848648648649	0.882063882064	0.836842105263	0.848585690516	0.896103896104	0.915567282322	0.902866242038	0.89110707804	0.908536585366	0.927184466019	0.916943521595	0.912825651303	0.886	0.930481283422	0.936170212766
PN2	0.859504132231	0.840670859539	0.0	0.945054945055	0.895973154362	0.911854103343	0.910344827586	0.930753564155	0.931937172775	1.0	0.909090909091	0.918819188192	0.889733840304	0.891129032258	0.895953757225	0.900900900901	0.866666666667	0.915187376726	0.899641577061	0.89592760181	0.818	0.824257425743	0.889250814332	0.868686868687	0.915690866511	0.918232044199	0.888607594937	0.862660944206	0.827118644068	0.833684210526	0.831663326653	0.898666666667	0.897810218978	0.90359168242	0.845977011494	0.900362318841	0.893687707641	0.900809716599	0.908277404922	0.854219948849	0.889312977099	0.911111111111
pcrblank	0.974045801527	0.974160206718	0.945054945055	0.0	0.815068493151	0.865168539326	0.86524822695	0.914705882353	0.95867768595	1.0	0.899082568807	0.867768595041	0.80701754386	0.844660194175	0.87	0.915032679739	0.899563318777	0.965879265092	0.864661654135	0.976279650437	0.941605839416	0.960912052117	0.89880952381	0.853503184713	0.941379310345	0.976368159204	0.970042796006	0.963988919668	0.950276243094	0.924324324324	0.935162094763	0.964451313756	0.893939393939	0.945273631841	0.928792569659	0.951162790698	0.952662721893	0.94262295082	0.973717146433	0.960854092527	0.875	0.903846153846
negcontrol1	0.93740685544	0.934306569343	0.895973154362	0.815068493151	0.0	0.859154929577	0.824561403509	0.888888888889	0.934545454545	1.0	0.85	0.901234567901	0.843137254902	0.814814814815	0.808035714286	0.886567164179	0.868725868726	0.925925925926	0.883720930233	0.951278928136	0.895591647332	0.912386706949	0.858585858586	0.798913043478	0.905660377358	0.948905109489	0.947586206897	0.935897435897	0.873170731707	0.862694300518	0.914153132251	0.927601809955	0.845679012346	0.900709219858	0.865102639296	0.935064935065	0.936585365854	0.937965260546	0.938347718866	0.886287625418	0.886075949367	0.913333333333
500M3	0.950495049505	0.921478060046	0.911854103343	0.865168539326	0.859154929577	0.0	0.80829015544	0.853785900783	0.919463087248	1.0	0.882352941176	0.767857142857	0.802325581395	0.840490797546	0.791836734694	0.851428571429	0.870175438596	0.881927710843	0.854922279793	0.957845433255	0.925531914894	0.925414364641	0.861607142857	0.774509803922	0.847094801223	0.956775700935	0.946808510638	0.937799043062	0.902953586498	0.875	0.905286343612	0.918128654971	0.857142857143	0.889887640449	0.896551724138	0.910041841004	0.897321428571	0.8961352657	0.936678614098	0.916167664671	0.82183908046	0.858520900322
500M2	0.950524737631	0.94540942928	0.910344827586	0.86524822695	0.824561403509	0.80829015544	0.0	0.887955182073	0.914728682171	1.0	0.89552238806	0.804347826087	0.776119402985	0.73275862069	0.807511737089	0.895705521472	0.875502008032	0.909560723514	0.822368421053	0.959509202454	0.923255813953	0.938837920489	0.854838709677	0.790697674419	0.868243243243	0.960927960928	0.956884561892	0.93085106383	0.887755102041	0.910485933504	0.929411764706	0.932721712538	0.847682119205	0.908212560386	0.906432748538	0.92841163311	0.903743315508	0.927648578811	0.954377311961	0.922558922559	0.835714285714	0.857664233577
500M1	0.951557093426	0.941569282137	0.930753564155	0.914705882353	0.888888888889	0.853785900783	0.887955182073	0.0	0.939262472885	1.0	0.924698795181	0.876876876877	0.886567164179	0.904615384615	0.827848101266	0.868787276342	0.883561643836	0.917667238422	0.900849858357	0.95450049456	0.916129032258	0.93893129771	0.906735751295	0.848066298343	0.864300626305	0.957718780728	0.948464912281	0.951972555746	0.907928388747	0.893728222997	0.907894736842	0.925355450237	0.924157303371	0.901993355482	0.906191369606	0.919937205651	0.927461139896	0.901408450704	0.945109780439	0.931313131313	0.879518072289	0.87012987013
340RF3	0.936912751678	0.920668058455	0.931937172775	0.95867768595	0.934545454545	0.919463087248	0.914728682171	0.939262472885	0.0	1.0	0.909090909091	0.887445887446	0.924369747899	0.903669724771	0.894568690096	0.928909952607	0.912280701754	0.931392931393	0.911646586345	0.942632170979	0.905325443787	0.924019607843	0.906810035842	0.905109489051	0.929824561404	0.958011049724	0.935524652339	0.919037199125	0.904593639576	0.911764705882	0.921104536489	0.95225464191	0.900826446281	0.922772277228	0.928735632184	0.901923076923	0.90405904059	0.912017167382	0.969298245614	0.932642487047	0.914893617021	0.939790575916
340RF2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
