	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
PN1	0.0	0.611991178559	0.771009766276	0.997784734809	0.997724755864	0.93521399433	0.9810754009	0.997664089665	0.841278383186	1.0	0.995866281401	0.99684700968	0.981864953036	0.997126879072	0.995585386729	0.878417271152	0.916483944842	0.825551862452	0.994252926157	0.486027234792	0.598169582773	0.78262231971	0.984192373173	0.995723146294	0.990405123302	0.637861149843	0.533120461106	0.641709618845	0.942510449501	0.659385971465	0.621074566836	0.51121234832	0.984059109882	0.741872678683	0.796502307505	0.813500207352	0.911526954453	0.742676791267	0.712702410939	0.755385707447	0.984223229528	0.852099224883
PN3	0.611991178559	0.0	0.55654855328	0.999472969412	0.99660079653	0.98394121337	0.983970740958	0.99783812785	0.793922988428	1.0	0.989341189073	0.994657123415	0.966211012707	0.995099344804	0.99279646087	0.883478465521	0.913678849895	0.825512175042	0.995259703428	0.713273918432	0.513463403503	0.578303016259	0.991207393273	0.993047562042	0.993889706637	0.814171896968	0.694106591489	0.612603732791	0.858907294391	0.543002393153	0.575856317157	0.764128898574	0.958191081464	0.724133848946	0.67874718951	0.847367312388	0.865833979504	0.734873328368	0.800437875058	0.698620295534	0.964011139409	0.834454873082
PN2	0.771009766276	0.55654855328	0.0	0.998042788689	0.992698509279	0.995068705674	0.981622280951	0.997944751175	0.852286568486	1.0	0.980499971657	0.992592592593	0.992129227108	0.992155544349	0.991588874375	0.892189151514	0.893820353779	0.922738569754	0.985437384123	0.846377837589	0.523256044588	0.537632062829	0.981869352688	0.989300307511	0.995265200251	0.897687718181	0.837006211276	0.593315279032	0.731857546427	0.654564888873	0.640549637392	0.86224018037	0.94471951684	0.841873905644	0.631907430185	0.925809841627	0.806981226354	0.852885080703	0.876659408583	0.694459153709	0.952227301246	0.893723545773
pcrblank	0.997784734809	0.999472969412	0.998042788689	0.0	0.974493220567	0.991430033257	0.996965252137	0.985716941077	0.999189660062	1.0	0.997659358664	0.98785959356	0.993305537612	0.994010596637	0.996084779581	0.998412094547	0.996331318142	0.999705307413	0.995813373053	0.999378911992	0.996183624679	0.998679529032	0.998133490028	0.995136135342	0.997227306697	0.999606460265	0.999292928481	0.999166210688	0.998568787644	0.996520894858	0.997765743932	0.999268327737	0.996753965326	0.99885483766	0.996878038794	0.999189611592	0.999223937225	0.998502307669	0.999393871514	0.999128587768	0.997827329903	0.998844168186
negcontrol1	0.997724755864	0.99660079653	0.992698509279	0.974493220567	0.0	0.834831460674	0.632214220509	0.959699697748	0.997718631179	1.0	0.965576592083	0.895499618612	0.891246311648	0.876567020251	0.777070446219	0.94563260461	0.978537195249	0.960713469512	0.950298077567	0.998385125375	0.991760320619	0.992046567921	0.994321468006	0.838720426524	0.973282211194	0.998821005748	0.998358723646	0.995854849475	0.967624325507	0.992460658807	0.994079530092	0.992581830374	0.964864122976	0.971553643195	0.990742645546	0.997546457298	0.994277970185	0.996361802529	0.997194634562	0.994778067885	0.944048561626	0.960708714719
500M3	0.93521399433	0.98394121337	0.995068705674	0.991430033257	0.834831460674	0.0	0.797201997484	0.917943338762	0.929779306392	1.0	0.994916748794	0.901656027385	0.871014431059	0.943135745445	0.735654806964	0.909950836085	0.965639390719	0.949511836916	0.94799220522	0.984184344218	0.940716549803	0.975626389918	0.980391602859	0.894628994759	0.874280045753	0.939362965413	0.907591717016	0.850984589996	0.979510137317	0.996314847943	0.979755719009	0.898931902517	0.975520807314	0.938852677446	0.99503732982	0.952649932798	0.950026975991	0.898575720485	0.976441593731	0.996433864394	0.960420841683	0.905748980173
500M2	0.9810754009	0.983970740958	0.981622280951	0.996965252137	0.632214220509	0.797201997484	0.0	0.943403992591	0.989531394536	1.0	0.989457444073	0.805278244539	0.869224353628	0.858466933868	0.745493402713	0.915406546609	0.954554905397	0.939377028172	0.920614079386	0.99746904224	0.99033387582	0.992890568754	0.969948099782	0.80916690689	0.947806163364	0.99487452148	0.990939389372	0.978884223155	0.975618073316	0.986801504538	0.981998953428	0.921302394704	0.981211836543	0.947887363173	0.980845500749	0.978684784262	0.980721564307	0.983011838728	0.992435806575	0.949436606382	0.925628463577	0.937687945405
500M1	0.997664089665	0.99783812785	0.997944751175	0.985716941077	0.959699697748	0.917943338762	0.943403992591	0.0	0.996182092119	1.0	0.998825172345	0.975411872738	0.983311802452	0.987371726822	0.863751779325	0.901672638649	0.985962192654	0.944545505273	0.98382396088	0.99810180104	0.997121998016	0.998547844696	0.993172841828	0.971637390474	0.770293039861	0.992629228767	0.997017823705	0.998669983073	0.997579052433	0.992636798663	0.99662118059	0.969238512168	0.998438942879	0.960882699962	0.993664529089	0.990975516809	0.996461338131	0.968328864558	0.995462319802	0.998405341231	0.97917786278	0.931450652069
340RF3	0.841278383186	0.793922988428	0.852286568486	0.999189660062	0.997718631179	0.929779306392	0.989531394536	0.996182092119	0.0	1.0	0.989456501378	0.988012491186	0.955604723311	0.988396540253	0.989044311846	0.955463539155	0.912864775997	0.888946047977	0.991132346689	0.85790073115	0.800613015896	0.886596545402	0.988183161004	0.988911127982	0.996013038903	0.914329423763	0.877712084505	0.788530295085	0.938965659108	0.788863359914	0.778171289714	0.897864051434	0.978219224814	0.769184492638	0.933836240767	0.844079060262	0.85992543878	0.764785633321	0.953645050614	0.978783823481	0.988868274583	0.880685035834
340RF2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
