#SampleID	Lab_id	Sample_number	Sample_name	Project	Habitat	Depth_m	Volume	Perservative
RWZG001	MO_1	1	MRB1	Moorea	Lagoon	10	1	none
RWZG012	MO_2	2	BRF1	Moorea	Backreef	2	1	none
RWZG023	MO_3	3	4RF1	Moorea	Forereef	2	1	none
RWZG034	MO_4	4	500M1	Moorea	Pelagic	2	1	none
RWZG045	MO_5	5	1KM1	Moorea	Pelagic	2	1	none
RWZG053	MO_6	6	2KM1	Moorea	Pelagic	2	1	none
RWZG054	MO_7	7	4KM1	Moorea	Pelagic	2	1	none
RWZG055	MO_8	8	740RF1	Moorea	Forereef	10	1	none
RWZG056	MO_9	9	LF1	Moorea	Forereef	2	1	none
RWZG002	MO_10	10	LB1	Moorea	Backreef	2	1	none
RWZG003	MO_11	11	PN1	Moorea	Backreef	2	1	none
RWZG004	MO_12	12	TMI1	Moorea	Backreef	1	1	none
RWZG005	MO_13	13	340RF1	Moorea	Forereef	30	1	none
RWZG006	MO_14	14	MRB2	Moorea	Lagoon	10	1	none
RWZG007	MO_15	15	BRF2	Moorea	Backreef	2	1	none
RWZG008	MO_16	16	4RF2	Moorea	Forereef	2	1	none
RWZG009	MO_17	17	500M2	Moorea	Pelagic	2	1	none
RWZG010	MO_18	18	1KM2	Moorea	Pelagic	2	1	none
RWZG011	MO_19	19	2KM2	Moorea	Pelagic	2	1	none
RWZG013	MO_20	20	4KM2	Moorea	Pelagic	2	1	none
RWZG014	MO_21	21	740RF2	Moorea	Forereef	10	1	none
RWZG015	MO_22	22	LF2	Moorea	Forereef	2	1	none
RWZG016	MO_23	23	LB2	Moorea	Backreef	2	1	none
RWZG017	MO_24	24	PN2	Moorea	Backreef	2	1	none
RWZG018	MO_25	25	TMI2	Moorea	Backreef	1	1	none
RWZG019	MO_26	26	340RF2	Moorea	Forereef	30	1	none
RWZG020	MO_27	27	MRB3	Moorea	Lagoon	10	1	none
RWZG021	MO_28	28	BRF3	Moorea	Backreef	2	1	none
RWZG022	MO_29	29	4RF3	Moorea	Forereef	2	1	none
RWZG024	MO_30	30	500M3	Moorea	Pelagic	2	1	none
RWZG025	MO_31	31	1KM3	Moorea	Pelagic	2	1	none
RWZG026	MO_32	32	2KM3	Moorea	Pelagic	2	1	none
RWZG027	MO_33	33	4KM3	Moorea	Pelagic	2	1	none
RWZG028	MO_34	34	740RF3	Moorea	Forereef	10	1	none
RWZG029	MO_35	35	LF3	Moorea	Forereef	2	1	none
RWZG030	MO_36	36	LB3	Moorea	Backreef	2	1	none
RWZG031	MO_37	37	PN3	Moorea	Backreef	2	1	none
RWZG032	MO_38	38	TMI3	Moorea	Backreef	1	1	none
RWZG033	MO_39	39	340RF3	Moorea	Forereef	30	1	none
RWZG035	MO_40	40	poscontrol1	Moorea	Lab	0	1	none
RWZG036	MO_41	41	negcontrol1	Moorea	Lab	0	1	none
RWZG037	MO_42	42	SL1-F	CSC	Aquarium	0	1	none
RWZG038	MO_43	43	SL2-F	CSC	Aquarium	0	1	none
RWZG039	MO_44	44	SL3-F	CSC	Aquarium	0	1	none
RWZG040	MO_45	45	SL1-ET	CSC	Aquarium	0	1	ethanol
RWZG041	MO_46	46	SL2-ET	CSC	Aquarium	0	1	ethanol
RWZG042	MO_47	47	SL3-ET	CSC	Aquarium	0	1	ethanol
RWZG043	MO_48	48	SH1-F	CSC	Aquarium	0	0.5	none
RWZG044	MO_49	49	SH2-F	CSC	Aquarium	0	0.5	none
RWZG046	MO_50	50	SH3-F	CSC	Aquarium	0	0.5	none
RWZG047	MO_51	51	SH1-ET	CSC	Aquarium	0	0.5	ethanol
RWZG048	MO_52	51	SH2-ET	CSC	Aquarium	0	0.5	ethanol
RWZG049	MO_53	53	SH3-ET	CSC	Aquarium	0	0.5	ethanol
RWZG050	MO_55	55	pcrblank	Moorea	Lab	0	0.5	none
RWZG051	MO_56	56	tel_3462.06	CSC	Aquarium	0	0.5	none
RWZG052	MO_57	57	SBCC_50	NPS	Kelp	28	1	none
