#SampleID	Sample_name	Lab_id	Sample_number	Project	Habitat	Depth_m	Transect
TMI3	RWZG032	MO_38	38	Moorea	Backreef_flow	1	Backreef_flow
PN1	RWZG003	MO_11	11	Moorea	Backreef	2	Backreef
PN3	RWZG031	MO_37	37	Moorea	Backreef	2	Backreef
PN2	RWZG017	MO_24	24	Moorea	Backreef	2	Backreef
pcrblank	RWZG050	MO_55	55	Moorea	Lab	0	Lab
500M2	RWZG009	MO_17	17	Moorea	Pelagic	2	500
500M3	RWZG024	MO_30	30	Moorea	Pelagic	2	500
negcontrol1	RWZG036	MO_41	41	Moorea	Lab	0	Lab
500M1	RWZG034	MO_4	4	Moorea	Pelagic	2	500
340RF3	RWZG033	MO_39	39	Moorea	Forereef	30	Forereef
340RF2	RWZG019	MO_26	26	Moorea	Forereef	30	Forereef
340RF1	RWZG005	MO_13	13	Moorea	Forereef	30	Forereef
4KM1	RWZG054	MO_7	7	Moorea	Pelagic	2	4km
2KM2	RWZG011	MO_19	19	Moorea	Pelagic	2	2km
4KM2	RWZG013	MO_20	20	Moorea	Pelagic	2	4km
4KM3	RWZG027	MO_33	33	Moorea	Pelagic	2	4km
4RF1	RWZG023	MO_3	3	Moorea	Forereef	3	Forereef
4RF2	RWZG008	MO_16	16	Moorea	Forereef	3	Forereef
4RF3	RWZG022	MO_29	29	Moorea	Forereef	3	Forereef
1KM2	RWZG010	MO_18	18	Moorea	Pelagic	2	1km
LB1	RWZG002	MO_10	10	Moorea	Backreef	2	Backreef
LB3	RWZG030	MO_36	36	Moorea	Backreef	2	Backreef
LB2	RWZG016	MO_23	23	Moorea	Backreef	2	Backreef
poscontrol1	RWZG035	MO_40	40	Moorea	Lab	0	Lab
1KM3	RWZG025	MO_31	31	Moorea	Pelagic	2	1km
LF1	RWZG056	MO_9	9	Moorea	Forereef	2	Forereef
LF3	RWZG029	MO_35	35	Moorea	Forereef	2	Forereef
LF2	RWZG015	MO_22	22	Moorea	Forereef	2	Forereef
BRF2	RWZG007	MO_15	15	Moorea	Backreef	2	Backreef
BRF3	RWZG021	MO_28	28	Moorea	Backreef	2	Backreef
BRF1	RWZG012	MO_2	2	Moorea	Backreef	2	Backreef
MRB3	RWZG020	MO_27	27	Moorea	Backreef	10	Backreef
MRB2	RWZG006	MO_14	14	Moorea	Backreef	10	Backreef
MRB1	RWZG001	MO_1	1	Moorea	Backreef	10	Backreef
TMI1	RWZG004	MO_12	12	Moorea	Backreef_flow	1	Backreef_flow
740RF3	RWZG028	MO_34	34	Moorea	Forereef	10	Forereef
740RF2	RWZG014	MO_21	21	Moorea	Forereef	10	Forereef
740RF1	RWZG055	MO_8	8	Moorea	Forereef	10	Forereef
TMI2	RWZG018	MO_25	25	Moorea	Backreef_flow	1	Backreef_flow
2KM3	RWZG026	MO_32	32	Moorea	Pelagic	2	2km
1KM1	RWZG045	MO_5	5	Moorea	Pelagic	2	1km
2KM1	RWZG053	MO_6	6	Moorea	Pelagic	2	2km
