
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 49.539 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.844	5.232	
Aelurodon_asthenostylus	16.319	13.666	
Aelurodon_ferox	21.713	9.496	
Aelurodon_mcgrewi	15.932	12.85	
Aelurodon_montanensis	15.481	15.481	
Aelurodon_stirtoni	14.93	8.034	
Aelurodon_taxoides	22.075	5.493	
Aelurodon_wheelerianus	18.685	18.685	
Alopex	5.206	5.206	
Alopex_lagopus	1.311	0.006	
Archaeocyon_falkenbachi	22.874	22.874	
Archaeocyon_leptodus	32.993	22.358	
Archaeocyon_pavidus	33.28	28.893	
Borophaginae	24.25	5.492	
Borophagus	13.862	2.06	
Borophagus_diversidens	4.883	1.817	
Borophagus_dudleyi	3.644	3.644	
Borophagus_hilli	22.393	2.411	
Borophagus_littoralis	18.56	10.516	
Borophagus_orc	9.476	3.985	
Borophagus_parvus	8.436	7.006	
Borophagus_pugnator	22.077	5.086	
Borophagus_secundus	22.847	5.13	
Caedocyon_tedfordi	21.808	21.808	
Canidae	35.098	0.03	
Caninae	25.115	0.024	
Canini	6.624	3.029	
Canis	22.063	0.001	
Canis_(Pseudalopex)	1.273	0.062	
Canis_adustus	3.453	0.009	extant
Canis_anthus	0.562	0.558	extant
Canis_apolloniensis	1.574	1.574	
Canis_armbrusteri	2.695	0.047	
Canis_aureus	3.342	0.005	extant
Canis_cedazoensis	1.474	1.474	
Canis_dirus	2.216	0.012	
Canis_edwardii	13.631	0.349	
Canis_familiaris	0.988	0.001	extant
Canis_ferox	9.732	2.522	
Canis_latrans	4.767	0.003	extant
Canis_lepophagus	5.189	0.075	
Canis_lupus	3.473	0.001	extant
Canis_mesomelas	5.006	0.004	extant
Canis_proplatensis	1.882	1.882	
Canis_rufus	4.373	0.072	extant
Canis_thooides	4.643	4.643	
Carpocyon	16.891	14.391	
Carpocyon_compressus	15.814	11.694	
Carpocyon_limosus	10.265	5.217	
Carpocyon_robustus	22.102	10.47	
Carpocyon_webbi	15.879	9.713	
Cerdocyon_avius	3.724	3.323	
Cerdocyon_texanus	6.071	4.61	
Cerdocyon_thous	0.102	0.002	
Chailicyon_crassidens	45.06	45.06	
Chrysocyon	0.05	0.05	
Chrysocyon_brachyurus	0.88	0.49	
Chrysocyon_nearcticus	4.174	3.609	
Cormocyon	29.753	29.753	
Cormocyon_copei	28.186	6.099	
Cormocyon_haydeni	29.385	21.396	
Cubacyon_transversidens	1.975	1.975	
Cuon	0.778	0.039	
Cuon_alpinus	0.724	0.082	
Cynarctoides_acridens	28.511	13.889	
Cynarctoides_emryi	17.957	16.1	
Cynarctoides_gawnae	19.498	16.107	
Cynarctoides_harlowi	23.161	23.161	
Cynarctoides_lemur	28.619	23.037	
Cynarctoides_luskensis	24.56	22.206	
Cynarctoides_roii	30.613	20.473	
Cynarctoides_whistleri	16.576	16.396	
Cynarctus	17.992	12.721	
Cynarctus_crucidens	13.598	6.006	
Cynarctus_galushai	15.784	13.731	
Cynarctus_marylandica	18.901	13.975	
Cynarctus_saxatilis	15.969	13.666	
Cynarctus_voorhiesi	12.482	10.352	
Cynarctus_wangi	15.78	15.78	
Cynodesmus_martini	23.821	23.821	
Cynodesmus_thooides	33.128	23.2	
Cynodictis	49.539	28.579	
Cynodictis_lacustris	37.309	34.55	
Cynotherium	1.594	0.043	
Cynotherium_sardous	2.399	0.112	
Desmocyon	21.827	21.827	
